Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Pay by points;Override points;Override exchange rate;SEO name;Short description;Status;Popularity
"";"en";"291";"Healthy Snacks";"0.00";"164.40";"0.000";"100";"1";"0.00";"21 Aug 2019 15:45:01";"N";"";"N";"B";"N";"P";"";"exim/backup/images/ajonjoli.jpg#{[ar]:ajonjoli,ajonjolí organico, ajonjoli natural, semillas de ajonjolí;[de]:ajonjoli,ajonjolí organico, ajonjoli natural, semillas de ajonjolí;[en]:ajonjoli,ajonjolí organico, ajonjoli natural, semillas de ajonjolí;[es]:;[ja]:ajonjoli,ajonjolí organico, ajonjoli natural, semillas de ajonjolí;}";"<h1>Semillas de Ajonjolí Naturales</h1>";"healthy snacks, snack saludable, ajonjolí, orgánico, natural, mayoreo, menudeo";"Venta en linea, online de semillas de ajonjolí al mayoreo y/o menudeo";"ajonjolí, semillas de ajonjolí, ajonjolí orgánico, ajonjolí natural";"Ajonjolí";"IVA";"";"(SoCool) Presentación: SG[1KG,500G,250G]///inventory=Y///missing_variants_handling=M///multiupload=N///required=Y///status=A";"";"N";"N";"N";"";"";"A";"114"
"";"en";"292";"Healthy Snacks";"0.00";"181.50";"0.000";"100";"1";"0.00";"21 Aug 2019 15:45:01";"N";"";"N";"B";"N";"R";"";"exim/backup/images/ajonjoli_endulzado.jpg#{[ar]:semillas de ajonjoli endulzado, ajonjoli endulzado, ajonjoli;[de]:semillas de ajonjoli endulzado, ajonjoli endulzado, ajonjoli;[en]:semillas de ajonjoli endulzado, ajonjoli endulzado, ajonjoli;[es]:;[ja]:semillas de ajonjoli endulzado, ajonjoli endulzado, ajonjoli;}";"<h1>Semillas de Ajonjolí Endulzado</h1>";"healthy snacks, snack saludable, ajonjolí, orgánico, natural, ajonjoli endulzado, mayoreo, menudeo";"Venta en línea, online de ajonjolí endulzado mayoreo y/o menudeo";"";"";"";"";"";"";"N";"N";"N";"";"";"A";"59"
"";"en";"293";"Healthy Snacks";"0.00";"227.40";"0.000";"100";"1";"0.00";"21 Aug 2019 15:45:01";"N";"";"N";"B";"N";"R";"";"exim/backup/images/ajonjoli_natural_sin_cuticula.jpg#{[ar]:semillas de ajonjoli sin cuticula, ajonjoli sin cuticula, ajonjoli sin cascara, semillas de ajonjoli sin cascara;[de]:semillas de ajonjoli sin cuticula, ajonjoli sin cuticula, ajonjoli sin cascara, semillas de ajonjoli sin cascara;[en]:semillas de ajonjoli sin cuticula, ajonjoli sin cuticula, ajonjoli sin cascara, semillas de ajonjoli sin cascara;[es]:;[ja]:semillas de ajonjoli sin cuticula, ajonjoli sin cuticula, ajonjoli sin cascara, semillas de ajonjoli sin cascara;}";"<h1>Semillas de Ajonjolí Natural sin Cutícula</h1>";"healthy snacks, snack saludable, ajonjolí, orgánico, natural, ajonjoli sin cuticula, ajonjoli sin cascara, mayoreo, menudeo";"Venta en línea, online de ajonjolí natural sin cutícula / cáscara mayoreo y/o menudeo";"";"";"";"";"";"";"N";"N";"N";"";"";"A";"15"
"";"en";"294";"Healthy Snacks";"0.00";"675.50";"0.000";"100";"1";"0.00";"21 Aug 2019 15:45:01";"N";"";"N";"B";"N";"R";"";"exim/backup/images/almendra_blanca.jpg#{[ar]:almendra blanca, almendra sin cuticula, almendra sin cascara, almendra limpia;[de]:almendra blanca, almendra sin cuticula, almendra sin cascara, almendra limpia;[en]:almendra blanca, almendra sin cuticula, almendra sin cascara, almendra limpia;[es]:;[ja]:almendra blanca, almendra sin cuticula, almendra sin cascara, almendra limpia;}";"<h1>Almendra Blanca<span id=""selection-marker-1"" class=""redactor-selection-marker""></span></h1>";"healthy snacks, snack saludable, almendra, orgánico, natural, mayoreo, menudeo, almendra sin cascara, almendra sin cuticula, almendra blanca";"";"";"";"";"";"";"";"N";"N";"N";"";"";"A";"27"
"";"en";"296";"Healthy Snacks";"0.00";"647.40";"0.000";"100";"1";"0.00";"21 Aug 2019 15:45:01";"N";"";"N";"B";"N";"R";"";"exim/backup/images/almendra_en_bastones.jpg#{[ar]:;[de]:;[en]:;[es]:;[ja]:;}";"<h1>Almendra en Bastones</h1>";"";"";"";"";"";"";"";"";"N";"N";"N";"";"";"A";"50"
"";"en";"297";"Healthy Snacks";"0.00";"615.90";"0.000";"100";"1";"0.00";"21 Aug 2019 15:45:01";"N";"";"N";"B";"N";"R";"";"exim/backup/images/almendra_fileteada_con_cuticula.jpg#{[ar]:;[de]:;[en]:;[es]:;[ja]:;}";"<h1>Almendra Fileteada con Cutícula</h1>";"";"";"";"";"";"";"";"";"N";"N";"N";"";"";"A";"9"
"";"en";"298";"Healthy Snacks";"0.00";"644.10";"0.000";"100";"1";"0.00";"21 Aug 2019 15:45:01";"N";"";"N";"B";"N";"R";"";"exim/backup/images/almendra_fileteada_sin_cuticula.jpg#{[ar]:;[de]:;[en]:;[es]:;[ja]:;}";"<h1>Almendra Fileteada sin Cutícula</h1>";"";"";"";"";"";"";"";"";"N";"N";"N";"";"";"A";"6"
"";"en";"299";"Healthy Snacks";"0.00";"598.50";"0.000";"100";"1";"0.00";"21 Aug 2019 15:45:01";"N";"";"N";"B";"N";"R";"";"exim/backup/images/almendra_natural.jpg#{[ar]:;[de]:;[en]:;[es]:;[ja]:;}";"<h1>Almendra Natural</h1>";"";"";"";"";"";"";"";"";"N";"N";"N";"";"";"A";"0"
"";"en";"300";"Healthy Snacks";"0.00";"94.50";"0.000";"100";"1";"0.00";"21 Aug 2019 15:45:01";"N";"";"N";"B";"N";"R";"";"exim/backup/images/alpiste.jpg#{[ar]:;[de]:;[en]:;[es]:;[ja]:;}";"<h1>Alpiste</h1>";"";"";"";"";"";"";"";"";"N";"N";"N";"";"";"A";"43"
"";"en";"301";"Healthy Snacks";"0.00";"134.10";"0.000";"100";"1";"0.00";"21 Aug 2019 15:45:01";"N";"";"N";"B";"N";"R";"";"exim/backup/images/amaranto_endulzado.jpg#{[ar]:;[de]:;[en]:;[es]:;[ja]:;}";"<h1>Amaranto Endulzado</h1>";"";"";"";"";"";"";"";"";"N";"N";"N";"";"";"A";"3"
